# S0 CLI 레퍼런스 — 파일별 최상위 선언 수
# 문법 3dea6df · tree-sitter 0.26.12
# 쿼리 crates/pal-extract/queries/kotlin/top-level.scm
path	parse	declarations
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/scheduler/ProcessSchedulerRepository.kt	ok	3
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/scheduler/QuartzScheduleJob.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/service/BpmnService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/service/ProcessService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/service/ProcessTriggerEventService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/service/ScheduleTriggerService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/tracking/ProcessChangeTrackingProvider.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/process/tracking/ProcessVersionChangeTrackingProvider.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/controller/InlineServiceTaskController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/controller/ServiceTaskController.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/model/db/HubTaskTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/model/db/ServiceTaskTable.kt	ok	3
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/model/dto/HttpExtensionDto.kt	ok	10
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/model/dto/InlineServiceTaskDto.kt	ok	4
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/model/dto/ServiceTaskDto.kt	ok	12
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/model/dto/ServiceTaskSearchDto.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/repository/ServiceTaskRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/repository/impl/ServiceTaskDslRepository.kt	fail	0
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/service/InlineServiceTaskService.kt	ok	2
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/service/ServiceTaskService.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/tracking/ServiceTaskChangeTrackingProvider.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/automation/servicetask/tracking/ServiceTaskVersionChangeTrackingProvider.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/controller/CodeController.kt	ok	4
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/model/db/CodeCategoryTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/model/db/CodeTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/model/db/CodeTypeTable.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/model/dto/CodeDto.kt	ok	18
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/repository/CodeRepository.kt	ok	3
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/repository/impl/CodeCategoryDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/repository/impl/CodeDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/repository/impl/CodeTypeDslRepository.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/service/CodeService.kt	ok	3
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/tracking/CodeCategoryChangeTrackingProvider.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/tracking/CodeChangeTrackingProvider.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/code/tracking/CodeTypeChangeTrackingProvider.kt	ok	1
portal-backend/src/main/kotlin/kr/co/ecoletree/boxwood/common/advice/GlobalExceptionHandler.kt	ok	2
